step,time,block_x,block_y,block_z,block_vx,block_vy,block_vz,contacts,fx,fy,fz
48000,4.800000,0.000402,-26.963277,-41.220145,0.000157,-23.524927,-15.799788,0,0.0000,0.0000,0.0000
49000,4.900000,0.000418,-29.364868,-42.800124,0.000157,-24.505927,-15.799788,0,0.0000,0.0000,0.0000
50000,5.000000,0.000433,-31.864560,-44.380103,0.000157,-25.486927,-15.799788,0,0.0000,0.0000,0.0000
51000,5.100000,0.000449,-34.462352,-45.960082,0.000157,-26.467927,-15.799788,0,0.0000,0.0000,0.0000
52000,5.200000,0.000465,-37.158244,-47.540061,0.000157,-27.448927,-15.799788,0,0.0000,0.0000,0.0000
53000,5.300000,0.000481,-39.952236,-49.120040,0.000157,-28.429927,-15.799788,0,0.0000,0.0000,0.0000
54000,5.400000,0.000496,-42.844327,-50.700019,0.000157,-29.410927,-15.799788,0,0.0000,0.0000,0.0000
55000,5.500000,0.000512,-45.834519,-52.279997,0.000157,-30.391927,-15.799788,0,0.0000,0.0000,0.0000
56000,5.600000,0.000528,-48.922811,-53.859976,0.000157,-31.372927,-15.799788,0,0.0000,0.0000,0.0000
57000,5.700000,0.000543,-52.109203,-55.439955,0.000157,-32.353927,-15.799788,0,0.0000,0.0000,0.0000
58000,5.800000,0.000559,-55.393694,-57.019934,0.000157,-33.334927,-15.799788,0,0.0000,0.0000,0.0000
59000,5.900000,0.000575,-58.776286,-58.599913,0.000157,-34.315927,-15.799788,0,0.0000,0.0000,0.0000
60000,6.000000,0.000591,-62.256978,-60.179892,0.000157,-35.296927,-15.799788,0,0.0000,0.0000,0.0000
61000,6.100000,0.000606,-65.835770,-61.759870,0.000157,-36.277927,-15.799788,0,0.0000,0.0000,0.0000
62000,6.200000,0.000622,-69.512661,-63.339849,0.000157,-37.258927,-15.799788,0,0.0000,0.0000,0.0000
63000,6.300000,0.000638,-73.287653,-64.919828,0.000157,-38.239927,-15.799788,0,0.0000,0.0000,0.0000
